PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
EL01;PARTY;5;GP1401;CONSTITUTIVE;
EL02;PARTY;2;GP1402;CONSTITUTIVE;
EL03;COALITION;2;;CONSTITUTIVE;
EL04;PARTY;2;GP1402;CONSTITUTIVE;
EL05;PARTY;1;GP1403;CONSTITUTIVE;
EL06;COALITION;6;;CONSTITUTIVE;
EL07;PARTY;6;GP1405;CONSTITUTIVE;
EL08;PARTY;2;NA;CONSTITUTIVE;
EL09;PARTY;3;NA;CONSTITUTIVE;
