PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
EL01;PARTY;9;GP0401;CONSTITUTIVE;
EL02;PARTY;10;GP0402;CONSTITUTIVE;
EL03;PARTY;1;GP0406;CONSTITUTIVE;
EL03;PARTY;3;GP0409;CONSTITUTIVE;
EL04;PARTY;1;GP0407;CONSTITUTIVE;
