GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0601;10;1.76;CONSTITUTIVE;
GP0602;9;1.59;CONSTITUTIVE;
GP0603;0;0.0;CONSTITUTIVE;
GP0604;4;0.71;CONSTITUTIVE;
GP0605;0;0.0;CONSTITUTIVE;
GP0606;2;0.35;CONSTITUTIVE;
GP0607;0;0.0;CONSTITUTIVE;
GP0608;0;0.0;CONSTITUTIVE;
GP0609;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
