GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0401;9;1.74;CONSTITUTIVE;
GP0402;10;1.93;CONSTITUTIVE;
GP0403;0;0.0;CONSTITUTIVE;
GP0404;0;0.0;CONSTITUTIVE;
GP0405;0;0.0;CONSTITUTIVE;
GP0406;1;0.19;CONSTITUTIVE;
GP0407;1;0.19;CONSTITUTIVE;
GP0408;0;0.0;CONSTITUTIVE;
GP0409;3;0.58;CONSTITUTIVE;
GP0410;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
