PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
EL01;PARTY;10;GP0201;CONSTITUTIVE;
EL02;PARTY;9;GP0202;CONSTITUTIVE;
EL03;PARTY;4;GP0204;CONSTITUTIVE;
EL04;PARTY;1;GP0208;CONSTITUTIVE;
