GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0201;10;2.3;CONSTITUTIVE;
GP0202;9;2.07;CONSTITUTIVE;
GP0203;0;0.0;CONSTITUTIVE;
GP0204;4;0.92;CONSTITUTIVE;
GP0205;0;0.0;CONSTITUTIVE;
GP0206;0;0.0;CONSTITUTIVE;
GP0207;0;0.0;CONSTITUTIVE;
GP0208;1;0.23;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
