GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;8;1.07;CONSTITUTIVE;2019-07-02 10:00
SD;2;0.27;CONSTITUTIVE;2019-07-02 10:00
ECR;1;0.13;CONSTITUTIVE;2019-07-02 10:00
GUENGL;6;0.8;CONSTITUTIVE;2019-07-02 10:00
NA;4;0.53;CONSTITUTIVE;2019-07-02 10:00
